inv_tau,bandwidth,first_stage_gap,rd_limit,ow_limit,beta0
10,0.05,0.0005117021348631234,-1.3999854116090575,1.1385421415755443,1.0
10,0.2,0.025898372167659056,0.4007161933459437,1.1385421415755443,1.0
30,0.05,0.012111857060069398,0.7334465354088578,1.046209812005895,1.0
30,0.2,0.23720981576203287,0.9351280069234874,1.046209812005895,1.0
120,0.05,0.23720981576203287,0.9837820017310599,1.0115524528843327,1.0
120,0.2,0.7017107682801991,0.9963374008317554,1.0115524528843327,1.0
1000,0.05,0.8451546865369107,0.9997958702345207,1.0013862933194526,1.0
1000,0.2,0.9591603663604861,0.9999502241677753,1.0013862933194526,1.0
