n,inv_tau,n_tau,reps,rmse_first_order,rmse_mc,ratio_mc_over_first_order,rmse_mc_defined_only,ratio_defined_only,undefined_rate
100,1,100.0,4000,0.5361725552093127,0.5397107586856371,1.006599001463145,0.5397107586856371,1.006599001463145,0.0
100,3,33.33333333333333,4000,0.46349017706644446,0.4721782049201019,1.0187447939213001,0.4721782049201019,1.0187447939213001,0.0
100,10,10.0,4000,0.4736826248182955,0.4845755834682077,1.0229963230213284,0.4845755834682077,1.0229963230213284,0.0
100,30,3.3333333333333335,4000,0.7770845607802297,0.7767827421400819,0.9996116012910554,0.7767827421400819,0.9996116012910554,0.0
100,100,1.0,4000,1.4144644575131342,1.1381331139016775,0.8046388920246935,1.1381331139016775,0.8046388920246935,0.0
100,300,0.33333333333333337,4000,2.4495293140223353,1.3087818609939534,0.5342993257936653,1.309464280314796,0.5345779178141552,0.0024999999999999467
1000,1,1000.0,4000,0.48604790466479475,0.4863592765737917,1.000640619794898,0.4863592765737917,1.000640619794898,0.0
1000,3,333.3333333333333,4000,0.38033602595303984,0.3826308955314077,1.006033794912321,0.3826308955314077,1.006033794912321,0.0
1000,10,100.0,4000,0.19927883709409988,0.2011375524084283,1.009327208756496,0.2011375524084283,1.009327208756496,0.0
1000,30,33.333333333333336,4000,0.2496154112149522,0.2515107632759868,1.0075930891118035,0.2515107632759868,1.0075930891118035,0.0
1000,100,10.0,4000,0.4474862380474455,0.4572681800470685,1.0218597605197992,0.4572681800470685,1.0218597605197992,0.0
1000,300,3.3333333333333335,4000,0.7746215877098197,0.7726554975888892,0.9974618702187951,0.7726554975888892,0.9974618702187951,0.0
10000,1,10000.0,4000,0.48074808506740074,0.48105961299359945,1.0006480065878058,0.48105961299359945,1.0006480065878058,0.0
10000,3,3333.333333333333,4000,0.37099693728899985,0.37161673155910757,1.0016706182930695,0.37161673155910757,1.0016706182930695,0.0
10000,10,1000.0,4000,0.14575917638165858,0.14687389842384474,1.0076476971800894,0.14687389842384474,1.0076476971800894,0.0
10000,30,333.3333333333333,4000,0.09029173498892579,0.09070972088616769,1.0046292819303246,0.09070972088616769,1.0046292819303246,0.0
10000,100,100.0,4000,0.1421174036114087,0.14284081359838574,1.0050902279987823,0.14284081359838574,1.0050902279987823,0.0
10000,300,33.333333333333336,4000,0.2449960786119176,0.2435479650386404,0.9940892377482863,0.2435479650386404,0.9940892377482863,0.0
